b,Titulo,Tema,Disciplina,Curso,Chamada UAB,IES
246,INTRODUÇÃO A COMPUTAÇÃO,INTRODUÇÃO A COMPUTAÇÃO,Introdução a Computação,COMPUTACAO,UAB,UECE
247,INTRODUÇÃO À COMPUTAÇÃO,INTRODUÇÃO À COMPUTAÇÃO,Introdução a Computação,CIENCIAS DA COMPUTACAO,UAB,UNEB
248,INTRODUÇÃO À INFORMÁTICA,INTRODUÇÃO À INFORMÁTICA,Introdução a Informática,INFORMATICA,UAB,IFES
249,Introdução a Informatica em Saude - Overview,Informatica em Saude,INTRODUÇÃO À INFORMÁTICA EM SAÚDE,INFORMATICA EM SAUDE,UAB,UNIFESP
250,Introdução à informática. v. único,TECNOLOGIA EM SISTEMAS DE COMPUTAÇÃO,INTRODUÇÃO A INFORMÁTICA,TECNOLOGIA EM SISTEMAS DE COMPUTACAO,UAB,UFF
251,Introdução aos Sistemas Operacionais,Sistemas Operacionais,Introdução aos Sistemas Operacionais,COMPUTACAO,UAB,UFJF
252,Laboratório de Informática,Laboratório de Informática,Laboratório de Informática,COMPUTACAO,UAB,UECE
253,LI_4P_TecProg_VideoApres,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,UAB,IFES
254,Linguagem de Programação I,Linguagem de Programação,Linguagem de Programação I,COMPUTACAO,UAB,UFJF
255,Linguagem de Programação I,Linguagem de Programação,Linguagem de Programação I,COMPUTACAO,UAB,UFJF
256,LINGUAGEM DE PROGRAMAÇÃO I,LINGUAGEM DE PROGRAMAÇÃO,LINGUAGEM DE PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
257,LINGUAGEM DE PROGRAMAÇÃO I,LINGUAGEM DE PROGRAMAÇÃO ,Linguagem de Programação I ,INFORMATICA,UAB,IFES
258,Linguagem de Programação II,Linguagem de Programação II,LINGUAGEM DE PROGRAMAÇÃO II,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
259,Linguagem de Programação Orientada a Objetos,Linguagem de Programação Orientada a Objetos,LINGUAGEM DE PROGRAMAÇÃO ORIENTADA A OBJETOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
260,LINGUAGEM DE PROGRAMAÇÃO ORIENTADA A OBJETOS ,LINGUAGEM DE PROGRAMAÇÃO ORIENTADA A OBJETOS ,LINGUAGEM DE PROGRAMAÇÃO ORIENTADA A OBJETOS,TECNOLOGIA EM SISTEMA PARA INTERNET,UAB,IFMT
261,Linguagem de Programação para Animação Web,Linguagem de Programação para Animação Web,LINGUAGEM DE PROGRAMAÇÃO PARA ANIMAÇÃO WEB,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
262,Linguagem de Programação para WEB,Linguagem de Programação para WEB,LINGUAGEM DE PROGRAMAÇÃO PARA WEB,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
263,Linguagem de Programação Visual,Linguagem de Programação Visual,LINGUAGEM DE PROGRAMAÇÃO VISUAL,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
264,LINGUAGEM E PROGRAMAÇÃO I,LINGUAGEM E PROGRAMAÇÃO I,Liguagem de Programação I,COMPUTACAO,UAB,UECE
265,LINGUAGEM E PROGRAMAÇÃO II,LINGUAGEM E PROGRAMAÇÃO II,Linguagem de Programação II,COMPUTACAO,UAB,UECE
266,LI_RedesComp_VideoApres,Redes de Computadores ,Redes de Computadores,INFORMATICA,UAB,IFES
267,Lista 1 de Exercícios da Disciplina Sistemas Inteligentes,Lista 1 de Exercícios da Disciplina Sistemas Inteligentes,Sistemas Inteligentes,TECNOLOGIAS E SISTEMAS DE INFORMACAO,UAB,UFABC
